类别,子类别,问题,答案
特色服务,拍卖业务,海关拍卖流程（拍前必看）,一、阅读拍卖公告和拍品预告页面，了解拍品的基本信息、拍卖的时间、成交款支付的方式和期限、提货的方式和期限、不能及时付款或提货的法律风险及其他注意事项。二、联系具体负责的拍卖人，了解拍品详情、权利及实物瑕疵、具体操作方式等参拍细节。三、按照拍卖公告公示的时间和地点，联系拍卖人，安排实地查看拍品。未实地查看拍品的风险请参看《海关拍卖不实地查看拍品风险》。四、参与竞拍报名，阅读并勾选同意《海关拍卖用户竞拍服务协议》。五、提供用户实名信息。具体竞拍报名的规则请参看《海关拍卖竞拍报名须知》。六、交纳保证金，取得竞拍资格。用户可以通过网银支付、京东支付、微信支付、银联在线支付、京东钱包等方式交纳保证金。保证金的收取、扣除和退还细则请参看《海关拍卖竞拍保证金须知》。七、出价竞拍。在拍卖开始后，获得竞拍资格的用户可以在线上出价竞拍。参与竞拍的详细规则请参看《海关拍卖竞拍规则》。八、支付货款。竞得拍品的用户需要在72小时内完成全部成交款及相应的佣金的支付，如果保证金小于成交款，用户缴纳的保证金将自动转化为部分成交款，用户需在规定时间内交纳剩余尾款；如果保证金金额大于或者等于最终成交价，用户需要全额支付货款，保证金将在订单完成后返还给用户。用户可以通过网银支付、京东支付、微信支付、银联在线支付、京东钱包等方式交纳成交款及佣金。支付完成后，用户可以在“我的订单”中，查找到该笔订单的详细信息。关于佣金的相关情况，请参看《海关拍卖佣金条款》。九、下载打印系统弹出的《成交确认书》。成交确认书中会列明拍品信息和成交信息，以及买受人与拍卖人的权利义务关系。成交确认书的具体内容请参见《海关拍卖成交确认书》。十、提取拍品。用户与拍卖人联系，携带打印好的《成交确认书》、用户实名信息的相关证明材料等文件，在付清全部款项后7个工作日内到拍品所在地提取拍品。十一、海关拍卖因拍品来源的特殊性，所有拍品均不支持7天无理由退货。2016-11-22
售后服务,售后保障服务,品质险是什么,平安客服电话：021-95511，并同时提供投保商品订单号及保单号（10215011900216531747）1、买家享受该服务时需要支付费用吗？您好，若鉴定结果最终判定符合卖家宝贝描述且符合国家强制标准，则保险公司将按1件或套送检商品价格（含快递费）的90%赔付给买家，单笔订单赔付最高不超过2000元；买家需承担10%的损失。若鉴定结果最终判定不符合卖家商品描述或不符合国家强制标准，则保险公司赔偿买家支付的送检的运费和检测费，并先行垫付赔偿交易金额的全额货款（不含快递费），单笔金额不超过2000元。无论最终鉴定结果如何，鉴定的样品均不会寄回给买家，红木家具除外，针对红木家具品类的投保商品，若鉴定结果符合卖家描述，买家选择保留检测商品时，保险公司仅对检测费及送检的邮寄费用进行赔付，单笔赔偿限额最高不超过人民币2000元。2、相同的商品买了多件，都需要送检吗？您好，若买家购买同种商品数量大于1件或套，则仅需送检其中1件或套。（例买家购买同种商品并同产品编码）10件，则仅应送测1件，如检测结果为不符合卖家描述或不符合国家强制标准时，其他9件直接走申请退货流程；如检测结果为符合卖家描述或符合国家强制标准时，买家如果要求再检测其它9件，保险人将不再承担检测费及90%订单价格赔偿责任。3、买家送检商品有什么要求吗？您好，买家送检商品必须为未使用、未清洗商品。若买家已使用或已清洗商品，则保险公司不承担保险责任。2016-07-04
账户及会员,账户资产,什么是全品类东券？,京东（京东主站(www.jd.com)、京东客户端（IOS/Andriod）、M版京东（m.jd.com）微信购物、手机QQ购物）内通用，全品类东券每个订单最多只能使用一张，有使用限额限制，当订单中所购商品总金额或参加总价促销前的金额（指单品促销、返现后的金额，或者套装中的单品促销、返现后的金额）满足全品类满减东券使用限额时才能使用，按面值减免支付。使用东券提交订单时，若东券总金额大于订单需支付的商品金额，差额不予退回。部分特殊商品不能使用，以提交订单时是否可选择使用为准。全品类东券可同时使用的规则：按照店铺东券、全品类东券使用顺序，依次扣减东券金额。根据订单中所购可用券商品的总金额或参加总价促销前的金额（指单品促销、返现后的金额，或者套装中的单品促销、返现后的金额）计算是否满足东券使用限额。如满足则店铺东券、全品类东券可以同时使用。例如：用户购买商品A，总价促销前金额2000元，用户有一张2000-200店铺东券，一张1000-50的全品类东券，两张券均可购买商品A，全品类东券可与店铺东券同时使用。则：若同时使用店铺东券和全品类东券，首先计算、使用店铺东券，商品A总价促销前金额2000元，满足店铺东券使用条件，使用该券后商品需支付金额为1800元；且商品A总价促销前金额2000元可使用全品类东券，满足全品类东券使用条件，使用该券后商品实付金额为1750元。
特色服务,自营放心购,什么是护眼无忧服务？（自营商品）,客户选购有“护眼无忧”标识的自营商品，如自订单签收之日起的30天内，在使用过程中眼部出现红肿、发炎、视线模糊等情况，可以在线提交售后申请，并提供有效凭证，审核通过后将为客户提供退换货服务。
支付问题,在线支付,快捷支付支持的银行,银行名称贷记卡借记卡中国银行√√工商银行√√花旗银行√√农业银行√√建设银行√√招商银行√√交通银行√√民生银行√√光大银行√√邮政储蓄√√浦东发展银行√√平安银行√√兴业银行√√上海银行√√中信银行√√华夏银行√√北京农村商业银行√
发票问题,发票开具规则,京东卡（京东E卡）订单-合约机订单-图书订单发票可以合并开具吗？,您好，京东卡（京东E卡）订单/合约机订单/图书订单无法和一般订单合并开具发票。
购物指南,生活旅行,阳光人寿保险股份有限公司分公司信息汇总,2016-01-26
售后服务,售后退款说明,我刚POS机刷卡多刷了一次怎么办？,货到付款的订单，我们对账后，多支付款项会在5个工作日内返还（节假日、周六日时间顺延）。pos刷卡支付原路返还，现金支付返回至余额，如超期未返还，请及时联系客服为您处理。2020-01-09
支付问题,京东白条,订单取消或发生退货时，如何退款及恢复额度？,1.若在收货前取消订单且白条未还款：白条额度将在订单取消成功后自动恢复。
售后服务,售后商品返回,售后审核通过之后如何寄过去，是否可以由京东上门取件,售后商品返回方式以审核结果为准，审核结果会以短信形式发送到您申请的手机号。2016-01-26
支付问题,公司转账,交通银行企业网银支付步骤,登陆企业网银→输入智慧网盾密码→核对订单信息，提交订单→付款录入→订单授权→授权成功，支付完成1. 登陆企业网银，选择证书登陆：2. 在智慧盾上输密码：3. 核对订单信息，选择付款账户，点击【确定】按钮：4. 订单提交成功，需登陆企业网银授权：5. 登陆企业网银，选择【专项服务区-电子商务-B2B买方业务-订单授权】进行授权：6. 勾选授权交易，选择同意授权，点击【授权】按钮：7. 核对授权交易信息，点击【授权】进行授权：
账户及会员,账户资产,什么是平台专享券？,针对京东不同使用平台：京东网站(www.jd.com)、京东客户端（IOS/Andriod）、M版京东（m.jd.com）、微信购物、手机QQ购物一个或多个平台渠道可使用的优惠券，包括平台专享京券，平台专享东券以及平台专享运费券，平台专享京券在京东客户端、微信购物、手Q购物使用时一个订单仅可使用一张，平台专享券不能多张叠加，平台专享京券无使用限额限制。
账户及会员,会员介绍,企享值有什么用？,企业会员企享值达到10000分，可享受免续重运费。2021-1-6
配送方式,配送服务查询,物流为何没有在指定时间到达？,若商品没有在指定的时间送达，建议您先查看订单中的物流信息：若订单中有配送员信息，请先电话联系配送人员核实；若订单中没有相关配送信息，自营商品请联系在线客服，三方卖家商品请联系商家客服咨询。2017-03-03
